alpha_aae,beta_aae,threshold,val_accuracy,val_f1,val_FPR_gap,val_FNR_gap,val_DIfav,val_DIunfav,val_AAE_FPR,val_SAE_FPR
0.95,-0.1,0.55,0.8614891913530824,0.8549874266554903,0.09640796568759936,0.1012197810284539,0.3278143205485061,2.077523715001887,0.18518518511659807,0.0887772194289987
0.95,-0.1,0.4,0.8566853482786229,0.8596078431372549,0.10013028094144713,0.06823915546162473,0.2926918389141449,1.8484694030383815,0.2592592591632373,0.15912897822179015
0.8,-0.15,0.6,0.8534827862289832,0.8442553191489361,0.10310813319167474,0.1331104416199826,0.31881941555355814,2.1759327303979834,0.18518518511659807,0.08207705192492333
0.85,-0.2,0.6,0.8526821457165733,0.8424657534246576,0.10813325881973126,0.14222205893184797,0.31545329809654166,2.21676792795759,0.18518518511659807,0.0770519262968668
0.95,-0.1,0.5,0.8606885508406725,0.8578431372549019,0.10831937457063633,0.09766820976375407,0.3020037384821135,2.0074851134967973,0.22222222213991769,0.11390284756928136
0.9,-0.15,0.6,0.8542834267413931,0.8441780821917808,0.10980830069575011,0.11698140936278525,0.33899558437861166,2.1602736394087425,0.18518518511659807,0.07537688442084796
0.9,-0.25,0.5,0.8566853482786229,0.8526748971193415,0.11166945832267401,0.09065079481842202,0.32268258419513796,2.001392676770299,0.22222222213991769,0.11055276381724367
0.95,-0.1,0.6,0.8574859887910328,0.8476027397260274,0.1131583844477878,0.12773409753425014,0.32327701861361263,2.197835795612459,0.18518518511659807,0.07202680066881027
1.0,0.0,0.5,0.8654923939151321,0.8620689655172413,0.11836962582674938,0.11297670659115164,0.28241707842492714,2.069474488007088,0.22222222213991769,0.1038525963131683
0.9,-0.25,0.45,0.8502802241793435,0.8495575221238938,0.12023078345367327,0.08318024836615626,0.31168008069275976,1.9213853025161085,0.2592592591632373,0.139028475709564
0.85,-0.2,0.55,0.8542834267413931,0.847571189279732,0.1267448352068436,0.12563989516771684,0.30399060540779055,2.1248636044850615,0.22222222213991769,0.09547738693307407
0.8,-0.15,0.45,0.8606885508406725,0.860128617363344,0.13028103470978633,0.08254341489778949,0.29477876851075374,1.947740697448214,0.2592592591632373,0.12897822445345095
0.85,-0.2,0.45,0.8590872698158527,0.8580645161290322,0.13195607658580516,0.10468562470908607,0.27561814860562556,1.9968557048022835,0.2592592591632373,0.12730318257743212
0.9,-0.25,0.4,0.8486789431545236,0.8515318146111548,0.13214219233671023,0.07425233301572395,0.2916594162207897,1.8563520015978976,0.2962962961865569,0.16415410384984666
1.0,0.0,0.45,0.8638911128903123,0.8631239935587761,0.13530616033784287,0.08791975898352195,0.2851503162979569,1.9721303821974754,0.2592592591632373,0.12395309882539442
0.85,-0.2,0.4,0.8534827862289832,0.8557919621749409,0.14051740171680446,0.09493717392885398,0.2626817770063092,1.9160619857718466,0.2962962961865569,0.15577889446975243
1.0,0.0,0.55,0.8638911128903123,0.8566610455311973,0.14349525396703205,0.13639258333918175,0.28434813559071614,2.2051131763606615,0.22222222213991769,0.07872696817288564
0.8,-0.15,0.4,0.8566853482786229,0.8589440504334122,0.14386748546884215,0.06741862003182494,0.28961626798310824,1.8723206206107077,0.2962962961865569,0.15242881071771475
0.85,-0.2,0.5,0.8574859887910328,0.8540983606557377,0.14703145346997476,0.1067798270756194,0.29167331976145605,2.043049015559566,0.2592592591632373,0.11222780569326252
