lambda_adv,adv_c,val_accuracy,val_f1,val_AAE_FPR,val_AAE_FNR,val_AAE_TPR,val_AAE_acc,val_AAE_pos_rate,val_SAE_FPR,val_SAE_FNR,val_SAE_TPR,val_SAE_acc,val_SAE_pos_rate,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_mean_FPR,val_mean_FNR,val_abs_balance,val_DIfav,val_DIunfav,test_accuracy,test_f1,test_AAE_FPR,test_AAE_FNR,test_AAE_TPR,test_AAE_acc,test_AAE_pos_rate,test_SAE_FPR,test_SAE_FNR,test_SAE_TPR,test_SAE_acc,test_SAE_pos_rate,test_FPR_gap,test_FNR_gap,test_TPR_gap,test_mean_FPR,test_mean_FNR,test_abs_balance,test_DIfav,test_DIunfav,elapsed_sec,test_score,val_score
0.05,0.1,0.855084067253803,0.8502894954507858,0.1851851851851851,0.0913978494623656,0.9086021505376344,0.8967136150234741,0.8169014084507042,0.1088777219430485,0.214123006833713,0.785876993166287,0.8465250965250966,0.3957528957528957,0.0763074632421366,0.1227251573713474,0.1227251573713473,0.1470314535641168,0.1527604281480393,0.0057289745839224,0.303019389306373,2.064170336024695,0.8350680544435548,0.8316993464052288,0.3703703703703703,0.1129032258064516,0.8870967741935484,0.8544600938967136,0.8215962441314554,0.1354515050167224,0.2146118721461187,0.7853881278538812,0.831081081081081,0.4102316602316602,0.2349188653536479,0.1017086463396671,0.1017086463396671,0.2529109376935464,0.1637575489762851,0.0891533887172612,0.3024980162781224,2.002761619227241,211.64,0.22098387790162394,-0.09935228248855332
0.05,0.5,0.8566853482786229,0.8519437551695617,0.1481481481481481,0.1021505376344086,0.8978494623655914,0.892018779342723,0.8028169014084507,0.1088777219430485,0.2072892938496583,0.7927107061503417,0.8494208494208494,0.3986486486486486,0.0392704262050995,0.1051387562152496,0.1051387562152497,0.1285129350455983,0.1547199157420334,0.026206980696435,0.3278999787219924,2.0138457360671023,0.8318654923939152,0.8303715670436187,0.3333333333333333,0.1021505376344086,0.8978494623655914,0.8685446009389671,0.8262910798122066,0.1521739130434782,0.2077625570776255,0.7922374429223744,0.8243243243243243,0.4227799227799227,0.181159420289855,0.1056120194432169,0.1056120194432169,0.2427536231884058,0.154956547356017,0.0877970758323887,0.300940532101689,1.954423603738853,152.85,0.18012744695972405,-0.13479090310977382
0.05,1.0,0.8582866293034428,0.8547990155865464,0.2592592592592592,0.0967741935483871,0.9032258064516128,0.8826291079812206,0.8215962441314554,0.1105527638190954,0.1958997722095672,0.8041002277904328,0.8532818532818532,0.4044401544401544,0.1487064954401637,0.0991255786611801,0.0991255786611801,0.1849060115391773,0.1463369828789771,0.0385690286602002,0.2995563824577116,2.031440782516614,0.8318654923939152,0.8292682926829268,0.4074074074074074,0.1075268817204301,0.8924731182795699,0.8544600938967136,0.8309859154929577,0.1421404682274247,0.2146118721461187,0.7853881278538812,0.8272200772200772,0.4140926640926641,0.2652669391799827,0.1070849904256886,0.1070849904256886,0.274773937817416,0.1610693769332744,0.1137045608841416,0.2884655495235464,2.006763141400089,197.69,0.29740728607163786,0.012444575226364829
0.05,3.0,0.8518815052041633,0.847233691164327,0.1851851851851851,0.1129032258064516,0.8870967741935484,0.8779342723004695,0.7981220657276995,0.1139028475711892,0.2072892938496583,0.7927107061503417,0.8465250965250966,0.4015444015444015,0.0712823376139959,0.0943860680432066,0.0943860680432067,0.1495440163781872,0.1600962598280549,0.0105522434498677,0.3373315103408852,1.9876308641875984,0.8350680544435548,0.8333333333333334,0.4814814814814814,0.086021505376344,0.913978494623656,0.863849765258216,0.8591549295774648,0.1404682274247491,0.2123287671232876,0.7876712328767124,0.8291505791505791,0.4140926640926641,0.3410132540567323,0.1263072617469435,0.1263072617469435,0.3109748544531153,0.1491751362498158,0.1617997182032994,0.2403879579362887,2.074789010600092,349.86,0.44525559111814356,-0.10591437473641374
0.05,10.0,0.8470776621297038,0.8422791081750619,0.1851851851851851,0.1075268817204301,0.8924731182795699,0.8826291079812206,0.8028169014084507,0.1189279731993299,0.2164009111617312,0.7835990888382688,0.8397683397683398,0.4005791505791505,0.0662572119858551,0.1088740294413011,0.108874029441301,0.1520565791922575,0.1619638964410806,0.0099073172488231,0.3289560172831894,2.0041404556536384,0.8310648518815053,0.8285946385052803,0.4814814814814814,0.1129032258064516,0.8870967741935484,0.8403755868544601,0.8356807511737089,0.1404682274247491,0.2123287671232876,0.7876712328767124,0.8291505791505791,0.4140926640926641,0.3410132540567323,0.099425541316836,0.099425541316836,0.3109748544531153,0.1626159964648696,0.1483588579882456,0.2804526175923368,2.018100786266756,543.77,0.4207432181020626,-0.09558174733674346
0.1,0.1,0.8542834267413931,0.850328947368421,0.1851851851851851,0.1021505376344086,0.8978494623655914,0.8873239436619719,0.8075117370892019,0.1155778894472361,0.2027334851936218,0.7972665148063781,0.8474903474903475,0.4044401544401544,0.069607295737949,0.1005829475592132,0.1005829475592132,0.1503815373162106,0.1524420114140152,0.0020604740978045,0.3232055705464783,1.9966160833877575,0.8246597277822257,0.8215158924205379,0.4074074074074074,0.1236559139784946,0.8763440860215054,0.8403755868544601,0.8169014084507042,0.1471571906354515,0.2214611872146118,0.7785388127853882,0.8214285714285714,0.4140926640926641,0.2602502167719558,0.0978052732361172,0.0978052732361172,0.2772822990214294,0.1725585505965532,0.1047237484248762,0.3125043453171752,1.9727502068000875,219.68,0.2889169957507879,-0.11243657196350904
0.1,0.5,0.8526821457165733,0.8481848184818482,0.2222222222222222,0.1021505376344086,0.8978494623655914,0.8826291079812206,0.812206572769953,0.1122278056951423,0.2095671981776765,0.7904328018223234,0.8465250965250966,0.3996138996138996,0.1099944165270798,0.1074166605432679,0.1074166605432679,0.1672250139586822,0.1558588679060426,0.0113661460526396,0.3127877610447708,2.0324782326888813,0.8326661329063251,0.8293877551020408,0.4074074074074074,0.1236559139784946,0.8763440860215054,0.8403755868544601,0.8169014084507042,0.1371237458193979,0.2123287671232876,0.7876712328767124,0.831081081081081,0.4121621621621621,0.2702836615880094,0.088672853144793,0.088672853144793,0.2722655766134026,0.1679923405508911,0.1042732360625115,0.3114780584863016,1.9819902543829289,161.27,0.27745598079799627,-0.05318320371508739
0.1,1.0,0.8598879103282626,0.8559670781893004,0.2222222222222222,0.0806451612903225,0.9193548387096774,0.9014084507042254,0.8309859154929577,0.1072026800670016,0.20501138952164,0.7949886104783599,0.8513513513513513,0.3986486486486486,0.1150195421552205,0.1243662282313175,0.1243662282313174,0.1647124511446119,0.1428282754059813,0.0218841757386306,0.2810571246188506,2.084506989964193,0.8310648518815053,0.8277551020408164,0.3333333333333333,0.1075268817204301,0.8924731182795699,0.863849765258216,0.8215962441314554,0.1421404682274247,0.2214611872146118,0.7785388127853882,0.8243243243243243,0.4111969111969112,0.1911928651059085,0.1139343054941817,0.1139343054941817,0.237736900780379,0.1644940344675209,0.073242866312858,0.3029939146570414,1.99806030098658,196.98,0.16853425176306341,-0.03933780144583271
0.1,3.0,0.8534827862289832,0.8491343775762572,0.2222222222222222,0.0967741935483871,0.9032258064516128,0.8873239436619719,0.8169014084507042,0.1122278056951423,0.2095671981776765,0.7904328018223234,0.8465250965250966,0.3996138996138996,0.1099944165270798,0.1127930046292894,0.1127930046292894,0.1672250139586822,0.1531706958630318,0.0140543180956504,0.3049680670186515,2.044226661779569,0.8270616493194556,0.8255250403877221,0.4814814814814814,0.1075268817204301,0.8924731182795699,0.8450704225352113,0.8403755868544601,0.1505016722408027,0.2123287671232876,0.7876712328767124,0.8233590733590733,0.4198841698841699,0.3309798092406787,0.1048018854028575,0.1048018854028575,0.3159915768611421,0.1599278244218588,0.1560637524392832,0.2751595493646029,2.0014461775775594,363.4,0.43517944485890336,-0.04828163917627032
0.1,10.0,0.8534827862289832,0.8488852188274154,0.1851851851851851,0.086021505376344,0.913978494623656,0.9014084507042254,0.8215962441314554,0.1122278056951423,0.2164009111617312,0.7835990888382688,0.8436293436293436,0.3967181467181467,0.0729573794900428,0.1303794057853871,0.1303794057853871,0.1487064954401638,0.1512112082690376,0.0025047128288738,0.2957220608258106,2.070982207943582,0.8302642113690952,0.8290322580645161,0.4444444444444444,0.1129032258064516,0.8870967741935484,0.8450704225352113,0.8309859154929577,0.1505016722408027,0.2031963470319634,0.7968036529680366,0.8272200772200772,0.4237451737451737,0.2939427722036417,0.0902931212255118,0.0902931212255118,0.2974730583426235,0.1580497864192075,0.139423271923416,0.2932974681921842,1.9610509980278268,530.65,0.3632346771196699,-0.09720976078687327
